Row,TRG_003,TRG_005,TRG_006,TRG_013,TRG_018,TRG_019,TRG_021,TRG_024,TRG_026,TRG_027,TRG_034,TRG_035,TRG_036,TRG_037,TRG_038,TRG_045,TRG_046,TRG_047,TRG_051,TRG_055,TRG_057,TRG_059,TRG_063,TRG_064,TRG_065,TRG_066,TRG_072,TRG_073,TRG_075,TRG_077,TRG_088,TRG_090,TRG_095,TRG_101,TRG_001,TRG_002,TRG_008,TRG_009,TRG_012,TRG_015,TRG_029,TRG_030,TRG_031,TRG_048,TRG_049,TRG_050,TRG_052,TRG_056,TRG_061,TRG_062,TRG_071,TRG_076,TRG_079,TRG_080,TRG_081,TRG_084,TRG_091,TRG_096,TRG_100,TRG_102,TRG_004,TRG_007,TRG_010,TRG_011,TRG_017,TRG_020,TRG_022,TRG_023,TRG_025,TRG_033,TRG_039,TRG_040,TRG_042,TRG_043,TRG_053,TRG_054,TRG_058,TRG_060,TRG_067,TRG_068,TRG_069,TRG_070,TRG_074,TRG_078,TRG_085,TRG_086,TRG_087,TRG_089,TRG_092,TRG_093,TRG_094,TRG_097,TRG_098,TRG_099,TRG_103
TRG_003,0,0.170992460683423,0.171024658757197,0.119687956853288,0.222674996732067,0.156290321171237,0.144045622319778,0.149990806561792,0.0632354464356908,0.0948740544719323,0.0818458535750736,0.175833605190296,0.111697349372772,0.0896167030531926,0.0794511740933409,0.0513346536795943,0.179458163816232,0.134328901129918,0.241623350468041,0.150343696161179,0.0919299414477082,0.161862520429117,0.116187039382171,0.107995395474743,0.199632847547674,0.134594335025769,0.157741793850372,0.13788860322665,0.122857447238541,0.0898734530821659,0.115743042617356,0.0733710824270409,0.158049375760826,0.139621276632061,0.113413921851604,0.14782163988412,0.101518913689873,0.103249589355181,0.0839576738064864,0.0660853900314965,0.137608545085752,0.125428260954256,0.0802481558207296,0.0937179374089956,0.0563822517220918,0.120966585823421,0.173488474347715,0.0884793467866571,0.135358967907182,0.142780480320709,0.161493803290198,0.237527955357184,0.18533268732029,0.172603029062302,0.100619534372296,0.148876101546458,0.156265324099869,0.0674781254868311,0.210807385319951,0.111218618872253,0.124440010695423,0.0823341094839233,0.0904452496983935,0.161788785440241,0.157668828269296,0.13046646436021,0.152234292131773,0.171488602309871,0.0945839901557651,0.149307840856789,0.110963515145378,0.125590418664067,0.151639030166423,0.153490882539535,0.124924339589801,0.0956702542958032,0.154301040453068,0.111028800154442,0.170137585469491,0.100232732011839,0.0911630628014949,0.11547504286498,0.107755025177304,0.190447924332784,0.10129841988202,0.14463832788962,0.101972055629331,0.114089547948476,0.0896506983764399,0.136683456674779,0.116121328898067,0.120200621730263,0.110027601438054,0.115930986986093,0.0796943027720912
TRG_005,0.170992460683423,0,0.20000755674946,0.198361659529032,0.146028468816214,0.130366344155057,0.132099832906384,0.23473918809357,0.131739983166605,0.248964823403997,0.20276008250842,0.216790305767977,0.163623692046161,0.102095678448167,0.199157312420739,0.160221701456628,0.278763093938022,0.206079942871614,0.264013524996952,0.195817849434183,0.281562910998441,0.0705177755251634,0.195209196931298,0.269431893183262,0.1906816538055,0.229816540019072,0.0852790812552219,0.233637847216487,0.126389126936347,0.140602127315651,0.172519238554289,0.236584315035977,0.0683939285969952,0.185676427743896,0.0921742395323885,0.210219122522127,0.169947059489163,0.148022094802979,0.286341850741696,0.179628747417755,0.238675746382011,0.291899975479461,0.264880570172133,0.243584549519577,0.214019939184875,0.24953522019915,0.153896597557717,0.297144922815167,0.32427991140868,0.286270435179967,0.242220728776398,0.284835076665587,0.13136180202935,0.218768506853016,0.2771114248381,0.282773603597911,0.12714380135739,0.168965092622482,0.108204890587189,0.162468498716666,0.229598094887093,0.122667523185619,0.152053495770475,0.175869759366763,0.178637977679304,0.179238010340949,0.209730976546838,0.233092333918926,0.277598383489225,0.277999060970462,0.322690137569561,0.267241657780112,0.263805426957623,0.110046919004508,0.193393384077419,0.121768082757297,0.244862509605685,0.248004208428967,0.0920472641701883,0.268023767390825,0.107150994922106,0.286554356622192,0.297232736689103,0.11169416743989,0.137273698215896,0.277586290459749,0.128371560678841,0.310695891455384,0.222036569485324,0.202589255995468,0.286081018033256,0.284353736479635,0.256924143440024,0.226646248972452,0.158780758189181
TRG_006,0.171024658757197,0.20000755674946,0,0.237867433887263,0.211486764885768,0.242976461582428,0.173194733207553,0.334624239794746,0.149894755075305,0.216460277659921,0.212457434785529,0.138609679138001,0.226252752740528,0.155864183319956,0.230382846756947,0.198501320546586,0.284155110856653,0.202314286378839,0.14914001702001,0.276233254969287,0.245336732459999,0.117339244812322,0.215971551256387,0.252970016620957,0.204312483531129,0.163647138250268,0.217528356941706,0.238795745806087,0.18792779475783,0.176822480604358,0.188645942215525,0.216825143617035,0.168997178800872,0.192907710825016,0.227500249464434,0.250233541912937,0.21609796183784,0.227538282894196,0.231121544103225,0.156263961269254,0.228076809049282,0.302886347923218,0.229736724899359,0.152436186405219,0.192953358918808,0.273527319467982,0.229786134755427,0.265008364325595,0.32887097148657,0.325878158271896,0.293968401745951,0.221355321130077,0.228726684821833,0.336079892091195,0.246721556146816,0.261438254091582,0.19150241579297,0.14436899274966,0.149468519925887,0.177850435039066,0.195984327041355,0.191016768595126,0.179200313488752,0.248970161912207,0.236209355768107,0.257143237578659,0.257465204303449,0.201551870373217,0.250978830120821,0.237487351901692,0.280687366912457,0.17338495570055,0.267243898949295,0.236276249509873,0.261677055499841,0.190908233144567,0.291671946466105,0.2439038525282,0.180199967380582,0.288454268758482,0.174392795915355,0.198227420229239,0.325557115443247,0.272111895163894,0.179703015271481,0.280022212345038,0.213046553903438,0.265453475630883,0.213077316537374,0.232445270891868,0.307285873204318,0.309500673215102,0.278309354998935,0.169796969102016,0.182100648225397
TRG_013,0.119687956853288,0.198361659529032,0.237867433887263,0,0.228499483268044,0.146273710310328,0.253172040290097,0.283732015015853,0.191681011688009,0.0577497703509495,0.124966688840901,0.157875675024559,0.124191133695242,0.225514030147209,0.194835480492649,0.174114784714104,0.188301433929418,0.176632108584086,0.239733014490987,0.18674586916018,0.146781111713616,0.246980487634608,0.129869482281699,0.101379959046429,0.202186714388928,0.130465543110787,0.216189051450851,0.202688654680075,0.167182881911905,0.159722389781825,0.190403441242686,0.225647213193936,0.152340054859277,0.18415718444317,0.179816981253534,0.0843640014123604,0.202532128694642,0.118210804634972,0.176403599138936,0.153420721142426,0.205581444578472,0.134490597981291,0.179520216716377,0.140225496071618,0.231066298958062,0.085898428212841,0.0526593778010405,0.196215608448361,0.200519980918507,0.174869264974876,0.256614449736803,0.259325545470986,0.203606081243284,0.214297051397116,0.203816654912122,0.189660746529722,0.209279079850856,0.196071182640653,0.219863869857159,0.252657525750011,0.196981364171054,0.183626005317785,0.189767897073863,0.210605868067954,0.158865574233665,0.184629596768174,0.17967068986134,0.240023361530834,0.257214988224613,0.100653096697943,0.200932241093702,0.226660563787437,0.17273609757441,0.154217374902753,0.0681255917859612,0.208134287918456,0.226801599529573,0.153319144072052,0.195680873733653,0.145677815137044,0.229064524477243,0.222878247791794,0.2106451022658,0.237602586567941,0.21648367086428,0.166378361561588,0.222936313507679,0.140577638502936,0.126680844746097,0.212744319888762,0.314065166787924,0.198563205668785,0.121586216402341,0.205587200566076,0.105662670513961
TRG_018,0.222674996732067,0.146028468816214,0.211486764885768,0.228499483268044,0,0.14280828191872,0.252282751659118,0.172873061498006,0.192900908307519,0.179938555250551,0.218519898643838,0.0815042022144509,0.170605669376967,0.189807032238919,0.162541303392107,0.149199166876088,0.137493786349975,0.108769251230059,0.200523481930077,0.167422717306722,0.302433845639659,0.0871960337861832,0.232272400944579,0.192256686951929,0.230157255199829,0.274799373059052,0.152626043058945,0.234994675682325,0.117418562272938,0.227574310720272,0.16001834035516,0.28748700594536,0.11658246147888,0.183101704636513,0.256290659480212,0.195454599757135,0.226696206485485,0.250007384109113,0.262388979430304,0.301205060284304,0.204272220842284,0.33183342571011,0.265404873829824,0.255370065226633,0.308564714130313,0.199316598777123,0.181974062033146,0.321913367649535,0.36437605495104,0.265947841245862,0.255834307859626,0.262282577070747,0.260778002796347,0.279982632071905,0.222651251833634,0.220364333257534,0.21356238787511,0.204112948177505,0.0816740113171299,0.296395426658669,0.306488166860921,0.214421962510856,0.252706431932394,0.185635353770879,0.216696545715401,0.221197720705645,0.254758477758773,0.18142206158952,0.28653216720388,0.237562302790333,0.260758247008909,0.312890776050599,0.245198700177852,0.183937260099468,0.214206639347131,0.235644907047636,0.287545668407317,0.157124462757502,0.151908239735989,0.266147233724109,0.256896224076369,0.272342355428313,0.303830106151015,0.210108513414898,0.17518321008931,0.254373053703668,0.163678816106953,0.258578482758366,0.230985564970208,0.247097831610586,0.347425753700942,0.328287399736349,0.22062879642485,0.162674562298523,0.30085027263002
TRG_019,0.156290321171237,0.130366344155057,0.242976461582428,0.146273710310328,0.14280828191872,0,0.191337433634702,0.149398207481988,0.185148078999889,0.131701421894668,0.146779819107969,0.188419283276158,0.100329592398826,0.185975063642125,0.136839837744246,0.175046595335517,0.194607393735267,0.0959232546110987,0.180792437941835,0.223462336970177,0.192754763986895,0.17094153094075,0.17470400885868,0.169615243331092,0.167139998799724,0.112768304424346,0.145005407606604,0.20729984590145,0.180718261378961,0.189929967529012,0.112997959482443,0.178767547630188,0.0981921462569435,0.115048580684595,0.157947024937911,0.214079938667697,0.172729222755114,0.197839718782284,0.185740313380255,0.273941072560295,0.180114244277689,0.136024605516143,0.197251471921954,0.230718709081075,0.213143706096102,0.127079533522794,0.16592851786447,0.173909032423108,0.180672361952634,0.122234136437544,0.257991661142052,0.236524936077788,0.188284961419439,0.169980297023379,0.200956299786959,0.176865802322825,0.0778919262890342,0.25907916479513,0.182692797540803,0.24449640400953,0.171312197775053,0.178183018192208,0.193239843887924,0.178152569756591,0.259004051406008,0.0947808880284485,0.146663275764218,0.282667485014754,0.151915658736662,0.170616278822785,0.144161237426197,0.269501048317379,0.128708147407212,0.152361435750584,0.144071551592545,0.196605763332163,0.145976089425959,0.16513986463522,0.135052981947592,0.184741235732344,0.247497029129884,0.18933965594817,0.125466345968587,0.200970247645714,0.225970184953845,0.19274344793926,0.169912933108328,0.196668532729501,0.21175320321713,0.107445876810149,0.182091040447056,0.179158294398937,0.176310872522534,0.219342302930669,0.217843993736325
TRG_021,0.144045622319778,0.132099832906384,0.173194733207553,0.253172040290097,0.252282751659118,0.191337433634702,0,0.209509711618849,0.0548961324437114,0.147084766463604,0.174939673945862,0.222342613757838,0.199062640090845,0.0756220913586122,0.200341698432351,0.12289739494643,0.284275559439198,0.238441905025373,0.289909919975484,0.156555389239634,0.160440601942627,0.12477560652966,0.0845663137480557,0.25435689012939,0.24868837742127,0.166241371442194,0.165120905061632,0.230542711980753,0.117330552641478,0.0601515951773077,0.183304898290629,0.167854451825412,0.216984098050391,0.273862020476853,0.067849519532432,0.168015433035809,0.17835640317128,0.176260198033919,0.167019797192226,0.157313601701109,0.284751748091429,0.27810370193776,0.257669088116135,0.179410723261112,0.125107108067553,0.286359632018962,0.271488169218019,0.247561044154723,0.323603095957401,0.298651375839183,0.153090554213795,0.298687346130568,0.171825446340301,0.299557316063647,0.236697344149954,0.155594174658399,0.19612620346145,0.152426203363204,0.208414413114505,0.103244545763862,0.192463345771657,0.115758856112497,0.167579923316261,0.247169824632072,0.096988248997557,0.245507051140439,0.324467956115858,0.13284102915347,0.248471378739057,0.141283267566308,0.249123210938631,0.189650663565045,0.280334136485022,0.122372033314224,0.275318650381919,0.158188292267476,0.310142455511412,0.264618701410086,0.129241757083895,0.20601623031372,0.145235607491013,0.191404217993188,0.303110402414352,0.218935854605584,0.136733611162241,0.175608482982341,0.133577010418191,0.173069534541308,0.0899437891138707,0.254391935944754,0.25893418856016,0.231205679063669,0.305958015947693,0.174637747376685,0.191081478704969
TRG_024,0.149990806561792,0.23473918809357,0.334624239794746,0.283732015015853,0.172873061498006,0.149398207481988,0.209509711618849,0,0.157525209953392,0.179381783378913,0.12361821669897,0.208375045809637,0.167709451507982,0.213054087280669,0.104273868462435,0.122211126819252,0.215628738800829,0.0678988876107823,0.274825277708119,0.148150916371614,0.222295017324524,0.243219200716303,0.162888256748311,0.214510357475248,0.169445193611784,0.230504196331566,0.18410162812562,0.223425692654759,0.216106139993061,0.17185483542782,0.119440394465905,0.196163531419043,0.20723918175874,0.138973446615915,0.183572579671018,0.214391860416984,0.124039202416986,0.157892818792654,0.163457087061274,0.260773288669279,0.179664160601659,0.18465716205161,0.164961252848423,0.218462378279168,0.210468549957533,0.183495203654485,0.260281477932435,0.1807300559196,0.211975915142518,0.150819446444497,0.194850066711167,0.329299424734821,0.213871072124596,0.201351641411534,0.197649327423985,0.188317392571835,0.226737029933209,0.232605449842902,0.233642751201107,0.254385580796009,0.140606915617031,0.158391388088801,0.127743143726322,0.278368182773655,0.235258400680121,0.198633386492778,0.210214974584579,0.291057845076964,0.134809368556381,0.206531922169921,0.148387499729668,0.279621828186532,0.176224468445436,0.27196447482772,0.161524718138749,0.16725988121233,0.189028975298784,0.163169481396393,0.247417686812448,0.212648850589306,0.210152514036051,0.22779251478126,0.174727028039485,0.200382032468428,0.22128935648906,0.217614744218993,0.200280671455494,0.205955454172733,0.186096589670854,0.18948738954153,0.115355885920623,0.186303333090198,0.269251816186519,0.202864896971806,0.254705308695396
TRG_026,0.0632354464356908,0.131739983166605,0.149894755075305,0.191681011688009,0.192900908307519,0.185148078999889,0.0548961324437114,0.157525209953392,0,0.106152158015772,0.134125126250027,0.174114418145471,0.151489216958971,0.0650843835020587,0.134031369285676,0.0721579984556356,0.211583001928029,0.154454997515648,0.248992187274018,0.136328754336241,0.0905291847917861,0.0996237951549409,0.0665415457069102,0.135522888434082,0.231106970863843,0.165836737959988,0.129309832835129,0.169003509241363,0.0731633461126234,0.0467394123213988,0.140713349774038,0.0779985095987769,0.184889003364622,0.199381023465317,0.0679778952988626,0.127106013435007,0.18068445360965,0.126154246842347,0.128142465522018,0.0929680693291127,0.193264710628397,0.241945284946017,0.20070376959547,0.125615026337955,0.0588932790970004,0.177995061365111,0.200726756928818,0.151481928492244,0.219078154982048,0.213791255419386,0.0896686164379036,0.269480936022157,0.162644824174381,0.236031317614876,0.184240124129148,0.155435947523899,0.232553732140172,0.0848428479412497,0.178333872697009,0.0826478603035879,0.140109369998581,0.11126320847906,0.14089872605781,0.182081430232928,0.100062888056622,0.214453612200982,0.247088795949558,0.0962426713169778,0.154916158296391,0.0885002124880202,0.146479009892651,0.13574964409267,0.185649606105657,0.129478848768722,0.16451603379596,0.12917339500355,0.214213564234557,0.176074605509216,0.148375747782718,0.121859940996714,0.119344593726278,0.125918403383857,0.210143523572191,0.202369003621358,0.0610096745322224,0.151499867157045,0.0791869288365868,0.109680189888735,0.0708833853946685,0.213470652874186,0.195086813123919,0.194429124514757,0.177818334673672,0.10544086165574,0.157417144352963
TRG_027,0.0948740544719323,0.248964823403997,0.216460277659921,0.0577497703509495,0.179938555250551,0.131701421894668,0.147084766463604,0.179381783378913,0.106152158015772,0,0.0660556114891065,0.154921070028652,0.111096743782757,0.164973829351478,0.174364786243593,0.0801941734819991,0.166360898371057,0.10444331957138,0.280406565985073,0.11287800663449,0.124893664931812,0.206988830927207,0.0848314026260883,0.0841645798513272,0.17853811032405,0.155708583869936,0.198381277149845,0.178805069904006,0.118037024446811,0.0823629310105766,0.145307415188054,0.159625430663401,0.187548937136576,0.140396646758079,0.136490223275524,0.0592460193689051,0.0941814415939709,0.156868562081644,0.0869489034675275,0.172343414868161,0.169213429808426,0.130235636897775,0.15517040354784,0.106548686445601,0.156864063204409,0.082872333029103,0.094951445611771,0.168340855597503,0.193999096147472,0.161959317022827,0.178286938871891,0.234074888739078,0.137618608260337,0.212868424799831,0.128801644890729,0.0998795068657302,0.173485451639372,0.172512422854655,0.216140263429129,0.233429686966448,0.138171839934077,0.13541799392641,0.14315334962162,0.220822616858886,0.0828091045246842,0.170141378781492,0.175176320138808,0.191709676583533,0.202697101239298,0.0615238836483902,0.180567522912032,0.200589852397325,0.148893126724926,0.161801415599599,0.0814857727444537,0.138567354374625,0.216433975173873,0.125279238547206,0.1206458550763,0.121708930433652,0.216037185379434,0.151750138586656,0.183018579479864,0.229161866286393,0.198696795715792,0.122016993827377,0.197697435366413,0.0869399876465519,0.0538950629976401,0.166988088953913,0.25626417632147,0.14285968868072,0.153351356195395,0.159053613884146,0.187876304733056
