Row,TRG_003,TRG_005,TRG_006,TRG_013,TRG_018,TRG_019,TRG_021,TRG_024,TRG_026,TRG_027,TRG_032,TRG_034,TRG_035,TRG_036,TRG_037,TRG_038,TRG_041,TRG_045,TRG_046,TRG_047,TRG_051,TRG_055,TRG_057,TRG_059,TRG_063,TRG_064,TRG_065,TRG_066,TRG_072,TRG_073,TRG_075,TRG_077,TRG_083,TRG_088,TRG_090,TRG_095,TRG_101,TRG_001,TRG_002,TRG_008,TRG_009,TRG_012,TRG_015,TRG_028,TRG_029,TRG_030,TRG_031,TRG_044,TRG_048,TRG_049,TRG_050,TRG_052,TRG_056,TRG_061,TRG_062,TRG_071,TRG_076,TRG_079,TRG_080,TRG_081,TRG_082,TRG_084,TRG_091,TRG_096,TRG_100,TRG_102,TRG_004,TRG_007,TRG_010,TRG_011,TRG_014,TRG_016,TRG_017,TRG_020,TRG_022,TRG_023,TRG_025,TRG_033,TRG_039,TRG_040,TRG_042,TRG_043,TRG_053,TRG_054,TRG_058,TRG_060,TRG_067,TRG_068,TRG_069,TRG_070,TRG_074,TRG_078,TRG_085,TRG_086,TRG_087,TRG_089,TRG_092,TRG_093,TRG_094,TRG_097,TRG_098,TRG_099,TRG_103
TRG_003,0,0.249943937092086,0.183946805295603,0.197430514202373,0.242011157747252,0.259218436469664,0.126026849293305,0.259764922615845,0.185812236064917,0.164604484616614,0.144441537885669,0.0976917867736301,0.188221155591457,0.103109830637505,0.231258612595292,0.16641950968122,0.156127420166226,0.173482475899877,0.237563343626423,0.182225600665608,0.175264075360365,0.238536635724084,0.214367798936828,0.170013893269245,0.274968417776987,0.205740637723978,0.198914238093012,0.285415255670351,0.15727218479864,0.151876538829953,0.170735098455468,0.243873101237462,0.18777668460993,0.219177092516256,0.141277989382692,0.28569559280162,0.191238579385869,0.136518956033062,0.218194722197754,0.235211486244742,0.13494248607467,0.142974863259911,0.244987491957704,0.21189446418524,0.126623094527451,0.144591500660436,0.170152044948313,0.182515667736231,0.20997876150241,0.176416454444117,0.141403683772058,0.113852016783079,0.0464209054868929,0.13691046535353,0.240514527332804,0.283652448578022,0.159994764899631,0.0689615433084226,0.222214702829924,0.167222445402814,0.137886608286348,0.12290678361624,0.202677429806842,0.209036392549698,0.217944922101362,0.224987923878169,0.168007923914988,0.162953854288716,0.165896023104386,0.213770658270395,0.186309023764287,0.2149027804143,0.198073636735334,0.217932009239059,0.259663356309876,0.14995285635308,0.208596754827308,0.164084525729373,0.271407728795909,0.189427690614013,0.174060912896635,0.18617701463581,0.196485003672068,0.158008668854158,0.170546265100472,0.0625003371068503,0.170045136419922,0.109904013054065,0.140679457284661,0.190220300743565,0.125225496906104,0.258981602905235,0.241147991809937,0.139959795609041,0.0920510082132333,0.159552108490623,0.0963726579923568,0.162143040227494,0.18370773994996,0.195567134440414,0.262892053838488,0.156146093362848,0.258984222084732
TRG_005,0.249943937092086,0,0.176247812460208,0.160153756116112,0.160359293364478,0.130669882715799,0.172224439733375,0.185615169433971,0.234287335089465,0.187185832850326,0.153289519977336,0.25555925174535,0.301910817350814,0.344416740627111,0.129553638688475,0.257366327124768,0.22753427478718,0.159836775250234,0.109406268663288,0.201842505827394,0.103917245925312,0.155282014998056,0.407482275361491,0.287615774116088,0.143814522006152,0.0902128414689924,0.321716990330001,0.230354859267851,0.244299208119308,0.215559728063328,0.18373177308275,0.174335769246895,0.327318486286412,0.100737243465626,0.211114376635151,0.137013450709396,0.184502394391746,0.26223651386902,0.119219460937559,0.195737103211063,0.253887487362591,0.111186527666353,0.225975634321865,0.183341560758571,0.274397706836214,0.142409319631978,0.171941234023349,0.171725088748712,0.0826839393790563,0.204389365202691,0.196380341141388,0.205299428193901,0.184699534812142,0.1624468194936,0.134209999139952,0.263727308121052,0.29633234426437,0.296635736063908,0.214569850158509,0.274866235490917,0.274792089475523,0.208467812282718,0.235657857559028,0.117961939111087,0.177099998654304,0.262825524208066,0.276686518561665,0.299262719332235,0.112887659674779,0.130753970277576,0.202530615189441,0.227176476285044,0.284276319378722,0.217920959272053,0.167811942897007,0.428531556514375,0.183791973922199,0.246986153710544,0.113128897717919,0.22647435349874,0.143836908380961,0.27908520577728,0.274537014585787,0.186529052357933,0.248287088461041,0.270331097212108,0.146143750053478,0.159546816770896,0.267135498290145,0.18211492503833,0.271374667329218,0.136698677717044,0.230050134058722,0.257713747699728,0.20852449474234,0.240519389247656,0.152123054307492,0.260958204678163,0.119174226983069,0.23722224530997,0.188514621781445,0.288183525746157,0.270290964927031
TRG_006,0.183946805295603,0.176247812460208,0,0.207927664599834,0.244300183563297,0.317396671818378,0.0818520708031,0.291503702673913,0.0972659888175901,0.194936563011488,0.136097746155981,0.180716583516845,0.242272401635212,0.220003612806042,0.145828427738227,0.245052578978988,0.302326687763199,0.284428990212014,0.21465175970884,0.0700132071542852,0.206916473100457,0.105618865630577,0.298789232397209,0.185452638032159,0.179544243901949,0.165241886065874,0.217766412053095,0.235705236902453,0.178988640452567,0.252843125171374,0.181926833137301,0.23583208108313,0.362085173931811,0.173012259590531,0.128262082685133,0.276765516611386,0.288672112669566,0.216754706091633,0.193168583938618,0.145876685569974,0.230464440213957,0.226814952764309,0.114099253204737,0.140862092536971,0.312991133122544,0.180058944766346,0.263184432033714,0.256555015158986,0.148524478321439,0.281776588983264,0.208482459961658,0.278682672413993,0.209272480389252,0.164065994928888,0.227098872766806,0.189723368334516,0.249497274456445,0.150057107639328,0.302954322313842,0.262848202810334,0.194680715874188,0.153017409404445,0.235667248188485,0.217899884457564,0.256125404781875,0.181484525222477,0.237533580125386,0.106359747162448,0.0574503497544244,0.233846181168084,0.257536670489566,0.250094571872047,0.276651170643668,0.191195048404056,0.310818048145819,0.373683851840836,0.313406258603942,0.295718762586632,0.318606820756444,0.166869605696951,0.176617797929172,0.256975113787218,0.234478692709918,0.250624242789419,0.296039552573246,0.210024621770728,0.200341823030194,0.192032551012564,0.199230064559902,0.310449027211999,0.267827697500744,0.278552947755196,0.300198686114439,0.252200963628485,0.269706515152209,0.244621965551369,0.0970516144996033,0.292774360794755,0.204373498518041,0.240591778241634,0.234270115884717,0.276177562608538,0.20613108219598
TRG_013,0.197430514202373,0.160153756116112,0.207927664599834,0,0.24239508863916,0.135381207249706,0.14787003768337,0.147389144655059,0.201131525986826,0.148721498295474,0.0797840186158597,0.227206751063972,0.209543161119178,0.205501082187861,0.0849136581361797,0.189070547600579,0.202066863382551,0.19210361142296,0.188144798015616,0.198653019334175,0.175178920176084,0.195559285240876,0.294591979801005,0.324164704367787,0.127549223019559,0.201958061755291,0.288399249436987,0.203507306942693,0.240438934226403,0.211918757756717,0.14423080795582,0.203377230881455,0.2808334960921,0.155196612892035,0.174212494611449,0.185169219135274,0.151689390704358,0.184279817937985,0.212331044863171,0.233852826225588,0.203628336807685,0.213240199913056,0.277705596751642,0.198451024416818,0.284729891140374,0.113088990592499,0.203511265019356,0.191094818885084,0.145770207929923,0.0950754734935438,0.207052711421405,0.251373296710171,0.176587892399878,0.0694426353197538,0.0927196320472047,0.28040582884272,0.224486936976268,0.229765613400075,0.106920239752342,0.157668935749709,0.225368494745042,0.141186595534301,0.184978983824362,0.177412566068676,0.214037236247153,0.243625210106788,0.158256850743092,0.267378229039875,0.147262007130454,0.170256447011234,0.229170806537717,0.28008382969565,0.294529035996672,0.156395080948173,0.118511007079363,0.299443503812633,0.137630485212482,0.110553492266876,0.212586375133524,0.120048418995655,0.177812602442482,0.266294383646036,0.225505274206741,0.0513961987811756,0.254484818518826,0.214855254119771,0.19875948076478,0.092087276613731,0.164717928376978,0.255821432360708,0.222420798213409,0.201819120535633,0.3278912419559,0.174887998761298,0.160119786951351,0.144551969865702,0.0857396960804766,0.164588378232995,0.198841879012966,0.192339718763725,0.196161693627315,0.238118860692109,0.206373430878931
TRG_018,0.242011157747252,0.160359293364478,0.244300183563297,0.24239508863916,0,0.145335038768134,0.163343171562878,0.173290712260476,0.156348331190707,0.126509141014019,0.205577353302373,0.194874702521103,0.202094982436053,0.262142949773715,0.191434803030589,0.191224246693232,0.0832493319591383,0.143591846346256,0.227131468020984,0.154410797851811,0.195852327914065,0.160204289618989,0.24382765043197,0.185284954588314,0.296024223479029,0.0817147981615797,0.225113631468561,0.271719188520371,0.164350933602203,0.193279225883615,0.118389685359773,0.215896465593006,0.210727998665317,0.148443408646445,0.166865700583711,0.0823482738704406,0.189358687541033,0.207037633433748,0.229153477518235,0.138430535986364,0.238904860117813,0.159622511645813,0.096085375113098,0.237726027782937,0.179266399913582,0.257477040902625,0.180451445378118,0.181788589213403,0.189639696807479,0.264110557679877,0.166272237750744,0.1763749757504,0.170612178807171,0.232023954209585,0.235613941567348,0.128647437182164,0.25576133596301,0.202875326735893,0.275980543415108,0.302072025677396,0.203499438938358,0.209343311069508,0.218814004193509,0.143402313630343,0.0869553426469131,0.247279377221583,0.253481585384044,0.273444077856081,0.206451838268823,0.187986091195538,0.222784938981693,0.134274649611059,0.262686701760068,0.224194456498294,0.217319561296243,0.365315380386472,0.273589532523866,0.23756864822736,0.248029368405925,0.189059316571195,0.255986942402679,0.290721720762947,0.253071312477735,0.24756325133125,0.195851473098002,0.187641426221168,0.172003453726165,0.254348534050677,0.166542859082168,0.110383191896389,0.171915016808423,0.234783526727622,0.283052238315061,0.213701874178087,0.30341410891278,0.279258316681879,0.216814623989553,0.244972649633945,0.169039370986809,0.273354322183074,0.256479253496635,0.234886243174574,0.218671527182248
TRG_019,0.259218436469664,0.130669882715799,0.317396671818378,0.135381207249706,0.145335038768134,0,0.192878046789419,0.0775013066481026,0.267942219567668,0.212704775499159,0.209523671567939,0.161572974255512,0.226456503916303,0.23532009917689,0.130886767278443,0.19036409389503,0.22589427570454,0.156031173572771,0.209612336903846,0.191569050779416,0.24321082458129,0.269138145306809,0.333743700407629,0.320351044627205,0.193516791486863,0.122725805235556,0.281276644014647,0.218081068743761,0.222616024486589,0.222644731794485,0.16040906336784,0.214094934730554,0.188260411110499,0.104458154671947,0.173203384070315,0.0828002597549368,0.0990840471537698,0.168443848407708,0.206272710672495,0.264844931500966,0.142674320594756,0.173100996543011,0.208525714278967,0.260370716241982,0.310071348902937,0.186648824494759,0.106854652150897,0.239259981304134,0.116294158173185,0.190428973682312,0.19550876805342,0.211911779524634,0.256638698381415,0.170892009697928,0.167568026151436,0.326310375986435,0.338732046511898,0.239083235243782,0.242096374416634,0.198921644443735,0.262203602185955,0.144401806352675,0.252666129826004,0.154003469586015,0.148598044572683,0.2441375197641,0.204813750144196,0.228017876854165,0.221221974114076,0.169937128800829,0.229201340090317,0.206383403133824,0.265543261581763,0.231063991722319,0.117560446430366,0.247017626850598,0.16124038435153,0.25579875264534,0.210545025993845,0.229081278597521,0.255406291012112,0.278155181692862,0.270832506457855,0.133734777142808,0.229668207289575,0.250793646266201,0.197134391413256,0.226401229098332,0.262882099145063,0.229812956454287,0.223347774513809,0.11999971409593,0.343955349558984,0.213707483464716,0.278038089725103,0.241530248160707,0.183605165758138,0.206732134784432,0.172502215486118,0.271190654782071,0.281783336803684,0.299341714823399,0.250414161894371
TRG_021,0.126026849293305,0.172224439733375,0.0818520708031,0.14787003768337,0.163343171562878,0.192878046789419,0,0.222831208954334,0.0922138809518228,0.132958116758151,0.143275811215878,0.16939407735022,0.226194059183779,0.125236952465755,0.140631291623913,0.214101086782737,0.237760445796498,0.201458901795589,0.210573522318764,0.0830567795181758,0.187684699338171,0.14485281691997,0.163514200416574,0.149632106177625,0.223743511262207,0.170546995650953,0.170948341120015,0.235210805431088,0.0970905668428729,0.201062091847799,0.0848211191662691,0.146143658349765,0.266966783201244,0.160746270458376,0.138237047363489,0.191067147675027,0.198354096640075,0.179056107160844,0.165187830336347,0.0865385812978977,0.133296657597897,0.170602565261008,0.130937689925191,0.0895292359146721,0.15644389155957,0.158840066048454,0.198195536723547,0.225143587737084,0.0911278105230741,0.217349041578339,0.200928103671364,0.21450005156381,0.198184209850324,0.133958907249696,0.202187501103772,0.196039553057601,0.169932788691203,0.129403224543192,0.229718280415927,0.219948042080917,0.213669060216404,0.181377155615137,0.0924602988200225,0.212251562137906,0.187779290315223,0.200587172622218,0.230932230393465,0.131239973225422,0.0956404904270123,0.193886235898604,0.21425944037451,0.267331570812345,0.228483415131629,0.198032809100804,0.270299559674875,0.292936877585652,0.265788179546802,0.178371984083434,0.274936459087411,0.139810384417741,0.218412211451319,0.151879117289066,0.215544516322927,0.191581690551032,0.226861202519175,0.188662067952502,0.178531671364786,0.186699156357497,0.176316431973425,0.256332062301495,0.206180796202963,0.211782529121506,0.274891115427343,0.161421357480769,0.167869565536615,0.173406608854995,0.0658307945361208,0.228180235433765,0.150254805878828,0.162167283459775,0.241701307877377,0.21719058042589,0.214169552788581
TRG_024,0.259764922615845,0.185615169433971,0.291503702673913,0.147389144655059,0.173290712260476,0.0775013066481026,0.222831208954334,0,0.206972420767236,0.194638361467544,0.170253426090958,0.201836355936803,0.236637705006081,0.278389895594516,0.0983931579729026,0.254582748454897,0.253266905265096,0.269221249403703,0.265897689786002,0.207064712884037,0.327231935567848,0.267633486447105,0.379419457628004,0.362828633492161,0.273099478637823,0.158375583785005,0.33476565641382,0.29749001297465,0.312462474459286,0.239086697083738,0.11682462042818,0.237129709309171,0.369055521192442,0.155862360485842,0.219549716751681,0.123600249056281,0.157116168594287,0.0982708373554796,0.209960426979852,0.277533765038581,0.2229775750546,0.183647736910945,0.210623826832571,0.263405254557156,0.363145757388836,0.199189726467187,0.159076178734381,0.257326625358542,0.1334591436552,0.266072012732974,0.185692618248263,0.187924058778083,0.284444927071337,0.182862552528685,0.201471159243107,0.333991993934513,0.35397515252499,0.252216801660152,0.274199284126385,0.170940193310175,0.27607399137153,0.152910795550385,0.205798363206787,0.159467025878949,0.193926067687818,0.313076980599134,0.225918895859669,0.303178476990683,0.19503106351193,0.19767467186294,0.282961473206556,0.19634855478436,0.343228610146055,0.214446136228264,0.115077089457195,0.308004335890893,0.297470645197067,0.297168237582361,0.364297421677158,0.282885940760818,0.21521305547221,0.366928336354667,0.307304586633118,0.1421938066593,0.213529693979497,0.256026381701214,0.234460777755263,0.278451879536768,0.268260002493112,0.299239211721292,0.258684365852742,0.187104936323193,0.391209821481358,0.257680016281675,0.34417688823928,0.26102984046176,0.153876351084124,0.283926301700673,0.173309997712875,0.33209231811496,0.316185974243209,0.354423412725595,0.290161224132768
TRG_026,0.185812236064917,0.234287335089465,0.0972659888175901,0.201131525986826,0.156348331190707,0.267942219567668,0.0922138809518228,0.206972420767236,0,0.209658032126569,0.165813421044219,0.211662160370905,0.174317538933169,0.201313075564355,0.0864831451052875,0.242904295056762,0.221568002822081,0.272862064301522,0.230843406329411,0.103972267668906,0.276944194279517,0.106096502850547,0.298811803715377,0.219157639559541,0.216347999525007,0.166197429313499,0.150665077364489,0.218269620299491,0.201249314969132,0.163540167272999,0.0764077685373765,0.1984486887007,0.214498076545195,0.169176167657115,0.170103089913937,0.246671823125962,0.248772465070757,0.132723473003459,0.26992384875037,0.105316706842016,0.276548086797085,0.200775553786163,0.168970360425704,0.106559116810166,0.24808866373741,0.236417083168366,0.208976372437236,0.151063924578296,0.0962665694964894,0.266144109730795,0.217205480070944,0.136684764401959,0.224528102110093,0.172138216382408,0.275768730969934,0.138038254048311,0.145828660336529,0.178702346117217,0.276796850032339,0.24084922318878,0.13270001875192,0.197396529497872,0.152327783637657,0.137018890452104,0.250403531269699,0.192589120127352,0.177753231198931,0.113907427869854,0.0911717550291448,0.170003923728116,0.278824033211845,0.292710822640534,0.318640657368565,0.172289560217583,0.261577047433905,0.237003540474438,0.312281347372677,0.241995121346578,0.35682045271704,0.175613798173463,0.240849467717375,0.299923905527089,0.16012331042545,0.219785466098231,0.181918135361595,0.228982879717687,0.138445489779324,0.308288716308839,0.221975449277022,0.229214965105483,0.2753682743162,0.223559008897171,0.3420369621695,0.245933837399746,0.292498823551194,0.211417277981083,0.115953290806741,0.277791584691302,0.114613176544611,0.150484170162591,0.243756952705389,0.143009561512858,0.15143732096905
TRG_027,0.164604484616614,0.187185832850326,0.194936563011488,0.148721498295474,0.126509141014019,0.212704775499159,0.132958116758151,0.194638361467544,0.209658032126569,0,0.125814741969056,0.201026554079831,0.18055610289398,0.200418915769094,0.154357840412965,0.154768275670835,0.161603057655807,0.141011922384221,0.189562148844122,0.144513386075123,0.189479203809531,0.175372166100903,0.29023621627505,0.141882507993542,0.301910444252481,0.155772308388096,0.233359948283752,0.225793166917109,0.113981368027844,0.122123369363961,0.136145182889095,0.145896273888135,0.278057892989088,0.165747451338434,0.162558800511115,0.190329966349912,0.222647258713894,0.200927887869973,0.135999317553628,0.143428828785363,0.217791304823224,0.133163481816068,0.113300374855232,0.198895105442998,0.16161242861345,0.194320056690646,0.126058017397599,0.179770266330069,0.158679746775998,0.213001108586634,0.142255696761607,0.201015882096234,0.219451093322814,0.160365343760387,0.169483633360646,0.183577487579273,0.172072397964273,0.220373039543281,0.264552453994872,0.225330150315669,0.224837474568989,0.209397427297248,0.23269367468306,0.162767326331583,0.10095321821004,0.233019774419441,0.178760700906734,0.25930848496154,0.115507212178498,0.144272623851444,0.103151699816799,0.180389195891641,0.189255260260859,0.238136152164911,0.228348809825722,0.27034918115115,0.237752116987346,0.225948678425601,0.293568234418738,0.0952004361678654,0.232162494835014,0.232891757246542,0.241818917948974,0.163673836637564,0.172799520769305,0.198826406456103,0.198282999341397,0.201889306829901,0.212714618140621,0.172656358922299,0.192053099998655,0.185936295598579,0.213379255450485,0.213727886995697,0.185319431876557,0.227118752201959,0.101028290707674,0.117324171959237,0.134200110747368,0.177907258726201,0.290515520219849,0.218004222038027,0.210780476979674
