Row,TRG_003,TRG_005,TRG_006,TRG_013,TRG_018,TRG_019,TRG_021,TRG_024,TRG_026,TRG_027,TRG_032,TRG_034,TRG_035,TRG_037,TRG_038,TRG_045,TRG_046,TRG_047,TRG_051,TRG_055,TRG_057,TRG_059,TRG_063,TRG_064,TRG_065,TRG_066,TRG_072,TRG_073,TRG_075,TRG_077,TRG_083,TRG_088,TRG_090,TRG_095,TRG_101,TRG_001,TRG_002,TRG_008,TRG_009,TRG_012,TRG_015,TRG_028,TRG_029,TRG_030,TRG_031,TRG_048,TRG_049,TRG_050,TRG_052,TRG_056,TRG_061,TRG_062,TRG_071,TRG_076,TRG_079,TRG_080,TRG_081,TRG_084,TRG_091,TRG_096,TRG_100,TRG_102,TRG_004,TRG_007,TRG_010,TRG_011,TRG_017,TRG_020,TRG_022,TRG_023,TRG_025,TRG_033,TRG_039,TRG_040,TRG_042,TRG_043,TRG_053,TRG_054,TRG_058,TRG_060,TRG_067,TRG_068,TRG_069,TRG_070,TRG_074,TRG_078,TRG_085,TRG_086,TRG_087,TRG_089,TRG_092,TRG_093,TRG_094,TRG_097,TRG_098,TRG_099,TRG_103
TRG_003,0,0.208889592718329,0.16973822542166,0.162451157609389,0.224944988458505,0.168277298565003,0.184234270246336,0.217854698322331,0.130950076950248,0.101527509684729,0.163977854178563,0.111367680191909,0.132286652905994,0.111811417595373,0.135774553880541,0.235338019588594,0.170732889301439,0.128928968040116,0.191865911550008,0.0842977378790827,0.208553955895747,0.186746892571407,0.18670228437944,0.17271633008697,0.141042426188417,0.143504231116146,0.127148608364426,0.215661860788504,0.100180826889184,0.110962383208811,0.206528733690254,0.082463520776999,0.235524884974299,0.0772418927512127,0.124932399387678,0.132574478333431,0.219593954385361,0.174552255026298,0.17873726603063,0.125264346257871,0.188993607439985,0.196100970287232,0.132566558365028,0.140505115126934,0.186756596744382,0.141486983419056,0.129440784864888,0.100977244950683,0.188791387577018,0.215421827512048,0.123753958920806,0.141067170156404,0.146327958077163,0.184761480105742,0.219870576999908,0.106537968506455,0.154190395997689,0.124412164896253,0.125950298252225,0.123381725577112,0.0951430144174688,0.211759739571428,0.112150334965472,0.191780192392991,0.0911488660158989,0.197298678182102,0.191184692752921,0.0856551900855522,0.25647526128085,0.145293025525366,0.129062544208117,0.130399785621176,0.258866005030906,0.280273759398078,0.109349675607364,0.135880915715471,0.197681283042376,0.222616403325104,0.187956085876042,0.12573015350369,0.121181197050174,0.220120427582366,0.12385758384109,0.123990493794512,0.19009855839104,0.150004256953421,0.163153858121268,0.256059789500032,0.154088909729853,0.18780050120503,0.10796541118397,0.125024371604275,0.167002934371733,0.0983557508630808,0.10641073202442,0.113057027932055,0.183412072146498
TRG_005,0.208889592718329,0,0.203399219620943,0.229566547471174,0.273484934976832,0.20192602437488,0.118821473316028,0.135424572042342,0.290774283980557,0.122813696974338,0.181964978291761,0.134400365855267,0.254988209946673,0.105534725899653,0.183731713973495,0.137418124102809,0.207067532046325,0.152422332930875,0.224863558491809,0.238324296638461,0.327374121254442,0.131048574957801,0.288902824718041,0.227322713278672,0.173107718722912,0.229793858038189,0.222536946581168,0.191189163637822,0.132251079399875,0.169353995352748,0.15043906566077,0.232987351349588,0.187126512665619,0.273965530796187,0.129752470551574,0.124691677825096,0.269248399078282,0.184409635388465,0.126510047297282,0.24856148080373,0.210687912034317,0.276658214480795,0.215588100723764,0.31680399278971,0.206692749922185,0.148047955473481,0.269465290584884,0.257624544846403,0.158427868992359,0.23479205390892,0.291248717843012,0.134170950946845,0.274518029647941,0.286419900501215,0.292279553808453,0.259238932823631,0.251959682348691,0.283940631000378,0.0973337467629549,0.201784464409995,0.14402430069769,0.275445200934394,0.22220962503051,0.222107215505759,0.204386567866952,0.28510658658733,0.261157882098226,0.202834645186178,0.234234666493129,0.158210741552682,0.112693064768708,0.253911206822747,0.195659680128488,0.213476461049769,0.273628208289997,0.251400317031146,0.290080502781643,0.138291906411127,0.337975769338547,0.2091001862756,0.12720900769769,0.128851338835501,0.183751270480263,0.177414983468925,0.175177559199674,0.135881752275319,0.244034010805493,0.150654840249497,0.166353536941796,0.195058059139781,0.22845742123142,0.316700614000276,0.206933672654922,0.281304394777444,0.17068493865039,0.231913832674682,0.172120935142828
TRG_006,0.16973822542166,0.203399219620943,0,0.233674716694999,0.17828640266222,0.176902136397841,0.159919476691172,0.17224881925264,0.0991331462521483,0.141471229311941,0.16069069223643,0.149402172271519,0.116199558883934,0.158582424539733,0.269605339213382,0.0898201726919853,0.198066089972473,0.225174999343808,0.217157430429234,0.149811658836729,0.18082244630736,0.207211139636808,0.116585681785642,0.236479104634022,0.158047614096576,0.170815309965793,0.189021070577498,0.159517138222255,0.0898556418107903,0.127313834285327,0.192561082835662,0.187011013074957,0.254208065430846,0.161711309261142,0.25153592498785,0.140509156965207,0.249940188024172,0.193036369644243,0.170555650627831,0.173322838938626,0.2233538255169,0.288360622871131,0.175919799924392,0.211396425029466,0.18500987396068,0.192265313667614,0.152794351755462,0.060963561826433,0.275781818439732,0.282574692050362,0.184076432335696,0.206288418918944,0.209091356590605,0.164583520239184,0.166788055727701,0.142424183044612,0.138588546446262,0.19665283766853,0.260415217887092,0.100947703481573,0.157210718931587,0.175370835841531,0.211959108825027,0.159236445957397,0.119724560693224,0.207417625684993,0.2679876854431,0.143237313076004,0.297052135617497,0.245027270619567,0.110843599042275,0.201731205953611,0.287442563349547,0.271055397488833,0.190628180074045,0.167115762842642,0.233798787822488,0.1829363162254,0.219162155886067,0.159577436200358,0.241166345684659,0.25499765232507,0.156094269068809,0.208971712844857,0.319027254118181,0.135694148236958,0.2277742805758,0.132531377572178,0.179191040153228,0.314388870117212,0.178570117547561,0.237991956117459,0.122262855950461,0.237026193767216,0.128100392181641,0.171854134079009,0.160581067862871
TRG_013,0.162451157609389,0.229566547471174,0.233674716694999,0,0.362249097647189,0.255292792944054,0.302275678215676,0.189324607047997,0.129140801159269,0.236478181132914,0.24019255426095,0.122777343488928,0.19482016593828,0.2425595408486,0.30424169463843,0.294424359226986,0.253987288972881,0.0727087331095069,0.220052263395975,0.145787187363443,0.113337983688229,0.162099196126212,0.11246929268313,0.0901259982221219,0.292690906653101,0.0998946291903627,0.263575014563244,0.270698640401299,0.213629836727815,0.15680575045813,0.230975090274134,0.151850453707988,0.186471595972166,0.10590141578621,0.0916160781346494,0.192067187799055,0.209477326078866,0.24349276881174,0.138104779680914,0.0980367634757284,0.20468399881,0.193987536284948,0.19368038286016,0.0806883982971701,0.237313841870981,0.0637960569168659,0.152734995846126,0.18155909070668,0.0817929850513771,0.335082362082837,0.204036080913501,0.118998224359237,0.153561359480157,0.20196388277459,0.109436756526809,0.123478859637,0.21317532671044,0.176470324077708,0.132884572157805,0.251273593188414,0.235055951899093,0.238810719034877,0.0745509847387525,0.193669193496186,0.189650924345877,0.207422307977321,0.257410662999816,0.266421681622957,0.132042438429231,0.0738191054893994,0.249594409523202,0.0576328728907369,0.104235636263945,0.0949864140914759,0.0729021763317507,0.128722477812446,0.130183491621115,0.291367013154905,0.198097055119033,0.267842791427782,0.0759562418345708,0.0929113233483519,0.184480043822048,0.093302406916386,0.107357069001353,0.292851573908939,0.0506827975279364,0.218808359190635,0.123276236385659,0.0836645488390219,0.115205252905245,0.169616311796715,0.107955503590611,0.200436705986025,0.127951659019768,0.177878430120325,0.12529444776345
TRG_018,0.224944988458505,0.273484934976832,0.17828640266222,0.362249097647189,0,0.211765986730375,0.186971425994979,0.32816483747952,0.311755245367788,0.187653153801098,0.296794766815578,0.298944812052579,0.199844347350791,0.281048624274019,0.309654252892875,0.183999821518813,0.126859578955694,0.330757197990985,0.169847290430145,0.247741510895423,0.260359201038679,0.255660956738978,0.244999371504201,0.237193320096498,0.098482301390817,0.204137141616287,0.311966745069438,0.204084446807239,0.139540104615506,0.260439374730139,0.190501319821955,0.22647608865194,0.300493691104783,0.276296766220765,0.32428952685712,0.202718260404967,0.231554808525711,0.293765876049622,0.33379242066437,0.264589203096992,0.184497579101619,0.288630855949844,0.233530288477588,0.303605203870273,0.297952828730721,0.328209240708624,0.345059129724687,0.214337159491958,0.350783948776642,0.137976358551038,0.267717866810893,0.337948326874679,0.346761263250151,0.250965501102737,0.376322570413624,0.258732852960891,0.31492914497669,0.242657535638036,0.355254246515321,0.221107461089046,0.173354434829246,0.272133409122001,0.28180776882764,0.204599423163261,0.268075024791284,0.264440142965204,0.170443009464237,0.252862383911493,0.439267000275905,0.357590158166035,0.312953323866633,0.297780642542916,0.37156229245818,0.34853059810004,0.247742567541039,0.3406096198698,0.279255283523601,0.280231576963604,0.25909051331334,0.345193503134949,0.304657203059253,0.362306927542823,0.281844071312883,0.229964826494123,0.451496614877328,0.340765164183855,0.325348568003123,0.33850253812017,0.27969924501229,0.399691294562181,0.289459171434799,0.305396092347802,0.33881904360708,0.362286259964795,0.327921861719646,0.240233932466958,0.321954367730274
TRG_019,0.168277298565003,0.20192602437488,0.176902136397841,0.255292792944054,0.211765986730375,0,0.105396864320544,0.13831214545599,0.278169748123976,0.2097162233904,0.181885401988158,0.161146257849649,0.241359157986362,0.155351067215843,0.164296386551549,0.16156851467474,0.224005275615949,0.233006285366603,0.244197816986172,0.1619665072849,0.212693842341334,0.243096799978788,0.259732036705177,0.191805987395933,0.177355433531144,0.155225199077698,0.264125888228261,0.148342442767629,0.131259357124405,0.248046461417859,0.17683092547641,0.222492338343943,0.229457441334766,0.247015468516866,0.221317876161201,0.155687954246809,0.244656424937065,0.089931091138574,0.23481349431175,0.219934190512443,0.138789829008136,0.26224279321311,0.198095638957927,0.251723397112939,0.14965734287977,0.230014024126012,0.266538270022611,0.198288046984537,0.180547797623627,0.24068152026828,0.262628699390443,0.208943837066038,0.306122939611489,0.227014315312673,0.208376215903317,0.25871340874561,0.252565741677082,0.234768379182801,0.196021466690536,0.173530734339207,0.126770523022089,0.212225280077004,0.262900830989008,0.176132213467126,0.199583143610603,0.251953774074871,0.258962171496914,0.15885826178424,0.238222936383186,0.203522238251413,0.179388214042042,0.258549742541795,0.226372550827953,0.263610000249509,0.183455737262693,0.246518126081958,0.233465926984253,0.130155801135051,0.24137140992381,0.262278922882198,0.198518446361287,0.182827812710996,0.138128442232607,0.16112911210047,0.230426193662403,0.215859804312719,0.29164431437688,0.212540381652607,0.234257987245107,0.238908484797975,0.219918034984484,0.219312813026346,0.209119973130855,0.241519509540723,0.209359529472494,0.230452643634908,0.159683716930604
TRG_021,0.184234270246336,0.118821473316028,0.159919476691172,0.302275678215676,0.186971425994979,0.105396864320544,0,0.180876657464805,0.278281744128312,0.2083886594396,0.145386318956799,0.255940950562551,0.26765724026625,0.0903244164967948,0.162754009769405,0.214865231786901,0.23833585462177,0.259596564321224,0.186536177916527,0.136069606742493,0.163858065695465,0.241644529436657,0.258744558045186,0.23015070103,0.131278697217912,0.203721147132076,0.213396109377829,0.115265090119909,0.0994934496662139,0.127521405592468,0.182187489634927,0.159898906270468,0.116558295347019,0.209092757550663,0.290358279703768,0.0678542409558013,0.248448895173173,0.139961844997442,0.19339402347109,0.308904913796136,0.205441559410518,0.279019970714959,0.228852376674769,0.19808270426639,0.111667618572771,0.268083768931182,0.223868171851723,0.211481764919929,0.266803187683794,0.228938435597402,0.142185038474862,0.188877000362307,0.259368931768877,0.127556927323098,0.179618007461457,0.277488418901239,0.176786095189322,0.170530222643545,0.210069914032872,0.128415914570538,0.131731014691482,0.207674337162676,0.331646103022668,0.103314603297066,0.131731532190256,0.277073112804204,0.246017679988838,0.230903617884504,0.317242046166461,0.203656690280701,0.0942262154190542,0.227383054366405,0.287312965359314,0.268936265915394,0.173592710143596,0.240036410561708,0.345525754774815,0.0524620147423037,0.203587168753163,0.228718200444263,0.23281274039341,0.203434795609889,0.19573354333773,0.244852482582855,0.289297824966882,0.170473531339552,0.262182054674716,0.184960237151045,0.137848464089709,0.320021003594478,0.227266659339514,0.258744216888963,0.190716203415916,0.222579982971305,0.167608172916938,0.175487002418546,0.166936477848813
TRG_024,0.217854698322331,0.135424572042342,0.17224881925264,0.189324607047997,0.32816483747952,0.13831214545599,0.180876657464805,0,0.24076740525159,0.192024983840206,0.133097716171637,0.206656145737933,0.2432940743957,0.0981742236256068,0.201135766678967,0.177897296697895,0.270763351862362,0.142568074688644,0.187528244928178,0.201997733271682,0.312224863512753,0.141402902910671,0.320201941884168,0.209475303967949,0.245400393533528,0.183891468717749,0.163802936842587,0.203696040757333,0.169198489598598,0.260722293758527,0.246565411243554,0.230918146799375,0.270999396643623,0.307583637596161,0.175986485300796,0.221017488969268,0.199365588186503,0.108471607042156,0.117129179369569,0.243446108550699,0.160006720369984,0.262989341571741,0.243291442916042,0.292985428258803,0.130404597420143,0.167009503319133,0.307129733252288,0.181616337286359,0.0948192380409986,0.241448830842626,0.251425518499772,0.170901577648232,0.284613934880758,0.250701285470314,0.241375796984457,0.280707543086532,0.183233395003799,0.294294780585829,0.115255346422874,0.145825783430206,0.1341075812281,0.251956199275887,0.225166547027641,0.25956180524269,0.124846237934617,0.239104366571535,0.246447799541385,0.164784088148477,0.148477207232968,0.160383885729499,0.175739981838402,0.27608425670674,0.104863039136523,0.103845845780093,0.237291285577848,0.29956957611453,0.277318919099587,0.108066835512031,0.320614703012787,0.155345116203463,0.121516380734698,0.0845244663328204,0.162662412724114,0.157154209500826,0.127770371862717,0.129927536596485,0.229810303340892,0.0732607724158756,0.258416639633847,0.139560151709554,0.276921230680376,0.280123138788612,0.184442918190462,0.27703513707695,0.169292256749495,0.20358717243235,0.0829994598061971
TRG_026,0.130950076950248,0.290774283980557,0.0991331462521483,0.129140801159269,0.311755245367788,0.278169748123976,0.278281744128312,0.24076740525159,0,0.169707936574996,0.205908073866985,0.106992705183743,0.173005296610508,0.188926154130972,0.248590758275255,0.220703217043405,0.207217486498429,0.16437848012218,0.242355400313441,0.0988445436449449,0.213081473826148,0.250316441692096,0.0752856208898467,0.192957116799451,0.291253936036829,0.181056229796953,0.222681665057923,0.195893663115055,0.185047412971086,0.101915988006528,0.289759425831568,0.176048064552757,0.250982595479356,0.073879153616993,0.185259200153055,0.215859284733654,0.224912561171192,0.198572369781769,0.166999219689722,0.0981078266031918,0.271786277075098,0.155971171196589,0.112850308353469,0.098479914497462,0.137227861352625,0.118965874517207,0.0694945631052241,0.0378017106155849,0.225708466476529,0.317886033921805,0.171622949732054,0.144109454117455,0.0964140519842617,0.190048488506305,0.128136562543349,0.0849234273366118,0.0750441432004091,0.116386488356396,0.229857845187772,0.183081077290833,0.171805690311831,0.171472737810447,0.133534298023021,0.138248659720466,0.0899639401573348,0.250269527624609,0.24270354345795,0.210927518548536,0.28622975238365,0.196772669020443,0.145670802165892,0.132541850293693,0.272647135643975,0.262138021034388,0.130323632042691,0.0543111981897342,0.140626688830209,0.247850868152965,0.175615135861273,0.22557670041109,0.210194163695931,0.243107785428329,0.172679975002788,0.219351143507994,0.239173803582825,0.251735420246549,0.161158884410029,0.265803006233878,0.199376138704516,0.225615927755983,0.094982364268032,0.134423463294895,0.115649502955736,0.223622006008818,0.116767382919094,0.138887524589522,0.26768482454632
TRG_027,0.101527509684729,0.122813696974338,0.141471229311941,0.236478181132914,0.187653153801098,0.2097162233904,0.2083886594396,0.192024983840206,0.169707936574996,0,0.126189420294949,0.157952426182549,0.151889893929605,0.194626250294121,0.226107624657489,0.113329035559079,0.130549279566644,0.194853882322224,0.152454391347185,0.148685188593944,0.215882009736497,0.0692494368825639,0.150833534465591,0.15013931660549,0.167369436431113,0.167511849378524,0.234833830208921,0.152915417598636,0.149005712191676,0.125916674363397,0.152453647745022,0.160554219550236,0.245401614484285,0.143841602688955,0.20233204843185,0.150599636731549,0.164985177611534,0.212426824485559,0.222380806805635,0.205756898782379,0.11179387705037,0.215117068066861,0.170321618651487,0.202479551386673,0.218936926153039,0.162471370715363,0.151130882010608,0.202018552532105,0.216249603066287,0.122154661282606,0.233310051965572,0.178097231271593,0.251070235580577,0.233012307750923,0.230745292513959,0.175756598050452,0.18587964950491,0.199420205028572,0.201090775174586,0.108861390745067,0.139541282782193,0.160353079255481,0.218316634351598,0.182195753546917,0.182226697232669,0.291058330673511,0.122014035060701,0.16665109403797,0.320975958983604,0.273357600412842,0.114350473169566,0.181136138924922,0.247166794742062,0.202990112811293,0.166131535869852,0.162317693379844,0.14728550819799,0.226751653936378,0.23726731141228,0.22647520738665,0.18895948869559,0.198073384987584,0.218754851943772,0.237849747004493,0.289228539753208,0.174312378926304,0.250855944562951,0.17063113724178,0.179977500624194,0.273095261000474,0.142782413185427,0.238606302467819,0.214842458859075,0.264769889329888,0.116379788954315,0.216343880777684,0.275227885066955
